ApplNo,Form,Dosage,drugname,activeingred
4056,"TABLET, DELAYED RELEASE; ORAL",0.1MG,STILBETIN,DIETHYLSTILBESTROL
4056,"TABLET, DELAYED RELEASE; ORAL",0.5MG,STILBETIN,DIETHYLSTILBESTROL
4056,"TABLET, DELAYED RELEASE; ORAL",1MG,STILBETIN,DIETHYLSTILBESTROL
4056,"TABLET, DELAYED RELEASE; ORAL",5MG,STILBETIN,DIETHYLSTILBESTROL
4056,TABLET; ORAL,0.25MG,STILBETIN,DIETHYLSTILBESTROL
4122,TABLET; ORAL,500MG,SULFADIAZINE,SULFADIAZINE
4125,TABLET; ORAL,300MG,SULFADIAZINE,SULFADIAZINE
4570,INJECTABLE; INJECTION,"1,000 UNITS/ML",HEPARIN SODIUM,HEPARIN SODIUM
4570,INJECTABLE; INJECTION,"5,000 UNITS/ML",HEPARIN SODIUM,HEPARIN SODIUM
4570,INJECTABLE; INJECTION,"10,000 UNITS/ML",HEPARIN SODIUM,HEPARIN SODIUM
4589,INJECTABLE; INJECTION,5ML/100ML;5GM/100ML,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE
4589,INJECTABLE; INJECTION,10ML/100ML;5GM/100ML,ALCOHOL 10% AND DEXTROSE 5%,ALCOHOL; DEXTROSE
4782,TABLET; ORAL,1.25MG,PREMARIN,"ESTROGENS, CONJUGATED"
4782,TABLET; ORAL,2.5MG,PREMARIN,"ESTROGENS, CONJUGATED"
4782,TABLET; ORAL,0.3MG,PREMARIN,"ESTROGENS, CONJUGATED"
4782,TABLET; ORAL,0.625MG,PREMARIN,"ESTROGENS, CONJUGATED"
4782,TABLET; ORAL,0.9MG,PREMARIN,"ESTROGENS, CONJUGATED"
4782,TABLET; ORAL,0.45MG,PREMARIN,"ESTROGENS, CONJUGATED"
5010,TABLET; ORAL,50MG,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,INJECTABLE; INJECTION,50MG/ML,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,INJECTABLE; INJECTION,100MG/ML,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,TABLET; ORAL,100MG,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,SYRUP; ORAL,50MG/5ML,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,INJECTABLE; INJECTION,25MG/ML,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,INJECTABLE; INJECTION,75MG/ML,DEMEROL,MEPERIDINE HYDROCHLORIDE
5151,PELLET; IMPLANTATION,125MG,PERCORTEN,DESOXYCORTICOSTERONE ACETATE
5213,TABLET; ORAL,1.5MG;5MG,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
5213,SYRUP; ORAL,1.5MG/5ML;5MG/5ML,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
5264,INJECTABLE; INJECTION,"1,000 UNITS/ML",PANHEPRIN,HEPARIN SODIUM
5264,INJECTABLE; INJECTION,"5,000 UNITS/ML",PANHEPRIN,HEPARIN SODIUM
5264,INJECTABLE; INJECTION,"10,000 UNITS/ML",PANHEPRIN,HEPARIN SODIUM
5264,INJECTABLE; INJECTION,"20,000 UNITS/ML",PANHEPRIN,HEPARIN SODIUM
5264,INJECTABLE; INJECTION,"40,000 UNITS/ML",PANHEPRIN,HEPARIN SODIUM
5264,INJECTABLE; INJECTION,100 UNITS/ML,HEPARIN LOCK FLUSH,HEPARIN SODIUM
5264,INJECTABLE; INJECTION,"2,000 UNITS/ML",HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
5264,INJECTABLE; INJECTION,"2,500 UNITS/ML",HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
5264,INJECTABLE; INJECTION,100 UNITS/ML,HEPARIN LOCK FLUSH IN PLASTIC CONTAINER,HEPARIN SODIUM
5292,TABLET; ORAL,0.02MG,ESTINYL,ETHINYL ESTRADIOL
5292,TABLET; ORAL,0.05MG,ESTINYL,ETHINYL ESTRADIOL
5292,TABLET; ORAL,0.5MG,ESTINYL,ETHINYL ESTRADIOL
5319,INJECTABLE; INJECTION,100%,PANTOPAQUE,IOPHENDYLATE
5378,TABLET; ORAL,5MG,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
5378,"TABLET, EXTENDED RELEASE; ORAL",10MG,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
5378,"TABLET, EXTENDED RELEASE; ORAL",5MG,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
5378,"TABLET, EXTENDED RELEASE; ORAL",15MG,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
5490,TABLET; ORAL,0.05MG,LYNORAL,ETHINYL ESTRADIOL
5490,TABLET; ORAL,0.01MG,LYNORAL,ETHINYL ESTRADIOL
5509,CAPSULE; ORAL,50MG,DICUMAROL,DICUMAROL
5509,CAPSULE; ORAL,25MG,DICUMAROL,DICUMAROL
5521,INJECTABLE; INJECTION,"1,000 UNITS/ML",HEPARIN SODIUM,HEPARIN SODIUM
5521,INJECTABLE; INJECTION,"10,000 UNITS/ML",HEPARIN SODIUM,HEPARIN SODIUM
5521,INJECTABLE; INJECTION,"20,000 UNITS/ML",HEPARIN SODIUM,HEPARIN SODIUM
5545,TABLET; ORAL,25MG,DICUMAROL,DICUMAROL
5545,TABLET; ORAL,50MG,DICUMAROL,DICUMAROL
5545,TABLET; ORAL,100MG,DICUMAROL,DICUMAROL
5619,INJECTABLE; INJECTION,20%,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM
5620,INJECTABLE; INJECTION,12.5GM/50ML,MANNITOL 25%,MANNITOL
5657,INJECTABLE; INJECTION,3MG/ML,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
5691,TABLET; ORAL,130CSR UNIT,VERTAVIS,VERATRUM VIRIDE ROOT
5725,INJECTABLE; INJECTION,10MG/ML,KAPPADIONE,MENADIOL SODIUM DIPHOSPHATE
5794,CREAM; VAGINAL,3.7%;2.86%;3.42%,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
5794,TABLET; VAGINAL,184MG;143.75MG;172.5MG,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
5795,OINTMENT; TOPICAL,0.20%,FURACIN,NITROFURAZONE
5845,CAPSULE; ORAL,50MG,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
5845,ELIXIR; ORAL,12.5MG/5ML,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
5845,CAPSULE; ORAL,25MG,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
5856,SOLUTION; ORAL,200MG/5ML,TRIDIONE,TRIMETHADIONE
5856,CAPSULE; ORAL,300MG,TRIDIONE,TRIMETHADIONE
5856,TABLET; ORAL,150MG,TRIDIONE,TRIMETHADIONE
5897,TABLET; ORAL,1MG,FOLVITE,FOLIC ACID
5897,INJECTABLE; INJECTION,5MG/ML,FOLVITE,FOLIC ACID
5914,TABLET; ORAL,50MG,PBZ,TRIPELENNAMINE HYDROCHLORIDE
5914,ELIXIR; ORAL,EQ 25MG HCL/5ML,PBZ,TRIPELENNAMINE CITRATE
5929,INJECTABLE; INJECTION,1MG/ML,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE
5932,INJECTABLE; INJECTION,5%,AMINOSOL 5%,PROTEIN HYDROLYSATE
5939,INJECTABLE; INJECTION,10%,BAL,DIMERCAPROL
5963,SOLUTION/DROPS; OPHTHALMIC,10%,SODIUM SULAMYD,SULFACETAMIDE SODIUM
5963,OINTMENT; OPHTHALMIC,10%,SODIUM SULAMYD,SULFACETAMIDE SODIUM
5963,SOLUTION/DROPS; OPHTHALMIC,30%,SODIUM SULAMYD,SULFACETAMIDE SODIUM
5970,INJECTABLE; INJECTION,1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,SOTRADECOL,SODIUM TETRADECYL SULFATE
5970,INJECTABLE; INJECTION,3% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,SOTRADECOL,SODIUM TETRADECYL SULFATE
6002,TABLET; ORAL,EQ 300MG BASE,ARALEN,CHLOROQUINE PHOSPHATE
6002,INJECTABLE; INJECTION,EQ 40MG BASE/ML,ARALEN HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE
6008,TABLET; ORAL,100MG **Federal Register determination that the product was not discontinued or withdrawn for safety or efficacy reasons**,MESANTOIN,MEPHENYTOIN
6012,CAPSULE; ORAL,182MG;0.33MG,FOLVRON,FERROUS SULFATE; FOLIC ACID
6035,TABLET; ORAL,0.2MG,METHERGINE,METHYLERGONOVINE MALEATE
6035,INJECTABLE; INJECTION,0.2MG/ML,METHERGINE,METHYLERGONOVINE MALEATE
6044,"TABLET, DELAYED RELEASE; ORAL",165MG,DIASONE SODIUM,SULFOXONE SODIUM
6071,INJECTABLE; INJECTION,"50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML",BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E
6095,INJECTABLE; INJECTION,3MG/ML,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
6110,CREAM; VAGINAL,0.01%,DIENESTROL,DIENESTROL
6134,TABLET; ORAL,5MG,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6134,SYRUP; ORAL,10MG/30ML,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6134,TABLET; ORAL,10MG,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6135,TABLET; ORAL,1MG,FOLIC ACID,FOLIC ACID
6146,INJECTABLE; INJECTION,10MG/ML,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
6146,INJECTABLE; INJECTION,50MG/ML,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
6170,INJECTABLE; INJECTION,5%,HYPROTIGEN 5%,PROTEIN HYDROLYSATE
6188,TABLET; ORAL,50MG,PROPYLTHIOURACIL,PROPYLTHIOURACIL
6203,INJECTABLE; INJECTION,2.5MG/ML,HEAVY SOLUTION NUPERCAINE,DIBUCAINE HYDROCHLORIDE
6213,TABLET; ORAL,50MG,PROPYLTHIOURACIL,PROPYLTHIOURACIL
6270,SOAP; TOPICAL,2%,GAMOPHEN,HEXACHLOROPHENE
6309,CREAM; TOPICAL,1%,KWELL,LINDANE
6309,LOTION; TOPICAL,1%,KWELL,LINDANE
6317,SUSPENSION; ORAL,250MG/5ML;250MG/5ML,SULFONAMIDES DUPLEX,SULFADIAZINE; SULFAMERAZINE
6317,TABLET; ORAL,167MG;167MG;167MG,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
6317,SUSPENSION; ORAL,167MG/5ML;167MG/5ML;167MG/5ML,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
6325,INJECTABLE; INJECTION,3MG/ML,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
6327,SOLUTION; INHALATION,0.50%,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
6327,SOLUTION; INHALATION,1%,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
6328,"TABLET; RECTAL, SUBLINGUAL",10MG,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
6328,"TABLET; RECTAL, SUBLINGUAL",15MG,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
6333,ELIXIR; ORAL,EQ 165MG BASE/15ML,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE
6343,INJECTABLE; INJECTION,150 UNITS/ML,WYDASE,HYALURONIDASE
6343,INJECTABLE; INJECTION,"1,500 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",WYDASE,HYALURONIDASE
6343,INJECTABLE; INJECTION,150 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,WYDASE,HYALURONIDASE
6383,POWDER; FOR RX COMPOUNDING,50GM/BOT,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6383,POWDER; FOR RX COMPOUNDING,100GM/BOT,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6383,POWDER; FOR RX COMPOUNDING,500GM/BOT,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6403,INJECTABLE; INJECTION,25MG/ML,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE
6412,TABLET; ORAL,25MG,DECAPRYN,DOXYLAMINE SUCCINATE
6412,TABLET; ORAL,12.5MG,DECAPRYN,DOXYLAMINE SUCCINATE
6441,TABLET; ORAL,EQ 200MG BASE,CAMOQUIN HYDROCHLORIDE,AMODIAQUINE HYDROCHLORIDE
6459,TABLET; ORAL,50MG,HETRAZAN,DIETHYLCARBAMAZINE CITRATE
6460,INJECTABLE; INJECTION,10MG/ML,PROTAMINE SULFATE,PROTAMINE SULFATE
6470,INJECTABLE; INJECTION,EQ 90MG CALCIUM/5ML,CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE
6488,INJECTABLE; INJECTION,2%,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,0.01MG/ML;2%,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,0.01MG/ML;1%,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,0.02MG/ML;2%,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,1%,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,0.50%,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,1.50%,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,0.005MG/ML;0.5%,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,0.005MG/ML;1.5%,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,0.005MG/ML;1%,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,INJECTABLE; INJECTION,0.005MG/ML;2%,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6514,SYRUP; ORAL,12.5MG/5ML,BENYLIN,DIPHENHYDRAMINE HYDROCHLORIDE
6525,TABLET; ORAL,500MG,GANTRISIN,SULFISOXAZOLE
6530,CREAM; VAGINAL,15%,AVC,SULFANILAMIDE
6530,SUPPOSITORY; VAGINAL,1.05GM,AVC,SULFANILAMIDE
6536,INJECTABLE; INJECTION,5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,URECHOLINE,BETHANECHOL CHLORIDE
6536,TABLET; ORAL,10MG,URECHOLINE,BETHANECHOL CHLORIDE
6536,TABLET; ORAL,5MG,URECHOLINE,BETHANECHOL CHLORIDE
6536,TABLET; ORAL,25MG,URECHOLINE,BETHANECHOL CHLORIDE
6536,TABLET; ORAL,50MG,URECHOLINE,BETHANECHOL CHLORIDE
6580,INJECTABLE; INJECTION,900MG/100ML,AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,AMMONIUM CHLORIDE
6620,TABLET; ORAL,100MG;1MG,CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE
6632,INJECTABLE; INJECTION,2MG/ML,METUBINE IODIDE,METOCURINE IODIDE
6668,INJECTABLE; INJECTION,1MG/ML,REDISOL,CYANOCOBALAMIN
6695,INJECTABLE; INJECTION,10MG/VIAL,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE
6772,INJECTABLE; INJECTION,20MG/ML,VASOXYL,METHOXAMINE HYDROCHLORIDE
6772,INJECTABLE; INJECTION,10MG/ML,VASOXYL,METHOXAMINE HYDROCHLORIDE
6773,TABLET; ORAL,5MG,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
6773,TABLET; ORAL,2MG,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
6773,ELIXIR; ORAL,2MG/5ML,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
6773,"CAPSULE, EXTENDED RELEASE; ORAL",5MG,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
6798,INJECTABLE; INJECTION,1MG/ML,BERUBIGEN,CYANOCOBALAMIN
6799,INJECTABLE; INJECTION,0.1MG/ML,RUBRAMIN PC,CYANOCOBALAMIN
6799,INJECTABLE; INJECTION,1MG/ML,RUBRAMIN PC,CYANOCOBALAMIN
6799,INJECTABLE; INJECTION,1MG/ML,RUBRAMIN PC,CYANOCOBALAMIN
6800,CAPSULE; ORAL,300MG,PARADIONE,PARAMETHADIONE
6800,SOLUTION; ORAL,300MG/ML,PARADIONE,PARAMETHADIONE
6800,CAPSULE; ORAL,150MG,PARADIONE,PARAMETHADIONE
6811,TABLET; ORAL,500MG,PARASAL,AMINOSALICYLIC ACID
6811,TABLET; ORAL,1GM,PARASAL,AMINOSALICYLIC ACID
6811,TABLET; ORAL,500MG,PARASAL SODIUM,AMINOSALICYLATE SODIUM
6811,TABLET; ORAL,1GM,PARASAL SODIUM,AMINOSALICYLATE SODIUM
6823,INJECTABLE; INJECTION,"EQ 50,000 UNITS BASE/ML",AQUASOL A,VITAMIN A PALMITATE
6882,EMULSION; TOPICAL,3%,PHISOHEX,HEXACHLOROPHENE
6904,TABLET; ORAL,167MG;167MG;167MG,TERFONYL,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
6904,SUSPENSION; ORAL,167MG/5ML;167MG/5ML;167MG/5ML,TERFONYL,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
6905,POWDER; INHALATION,25%,NORISODRINE,ISOPROTERENOL SULFATE
6905,POWDER; INHALATION,10%,NORISODRINE,ISOPROTERENOL SULFATE
6917,INJECTABLE; INJECTION,EQ 400MG BASE/ML,GANTRISIN,SULFISOXAZOLE DIOLAMINE
6920,TABLET; ORAL,167MG;167MG;167MG,TRIPLE SULFAS,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
6920,SUSPENSION; ORAL,167MG/5ML;167MG/5ML;167MG/5ML,TRIPLE SULFAS,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
6921,TABLET; ORAL,4MG,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE
6921,SYRUP; ORAL,2MG/5ML,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE
6927,CREAM; TOPICAL,10%,EURAX,CROTAMITON
6931,INJECTABLE; INJECTION,1MG/ML,SYNCURINE,DECAMETHONIUM BROMIDE
7012,INJECTABLE; INJECTION,1MG/ML,VI-TWEL,CYANOCOBALAMIN
7073,TABLET; ORAL,500MG,AZULFIDINE,SULFASALAZINE
7073,"TABLET, DELAYED RELEASE; ORAL",500MG,AZULFIDINE EN-TABS,SULFASALAZINE
7085,INJECTABLE; INJECTION,1MG/ML,CYANOCOBALAMIN,CYANOCOBALAMIN
7110,INJECTABLE; INJECTION,25MG/ML,CORTONE,CORTISONE ACETATE
7110,INJECTABLE; INJECTION,50MG/ML,CORTONE,CORTISONE ACETATE
7245,SOLUTION; INHALATION,0.25%,AEROLONE,ISOPROTERENOL HYDROCHLORIDE
7320,TABLET; ORAL,500MG,TEEBACIN,AMINOSALICYLATE SODIUM
7335,CAPSULE; ORAL,250MG,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE
7335,INJECTABLE; INJECTION,100MG/ML,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE
7335,CAPSULE; ORAL,500MG,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE
7335,CAPSULE; ORAL,375MG,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE
