ApplNo,SponsorApplicant
10598,SANOFI AVENTIS US                                 
10599,ABBOTT                                            
10611,PHARMACIA AND UPJOHN                              
10653,3M                                                
10656,MERCK                                             
10669,PBS                                               
10670,PHARMACIA AND UPJOHN                              
10679,SANOFI AVENTIS US                                 
10686,PFIZER                                            
10718,REED AND CARNRICK                                 
10721,PFIZER                                            
10742,GLAXOSMITHKLINE                                   
10744,GLAXOSMITHKLINE                                   
10753,WYETH AYERST                                      
10775,SCHERING                                          
10787,SANOFI AVENTIS US                                 
10791,BEL MAR                                           
10796,ABBOTT                                            
10799,WYETH CONS                                        
10831,ORGANICS LAGRANGE                                 
10841,LUNDBECK INC                                      
10895,PARKE DAVIS                                       
10909,SCHERING                                          
10911,STUART PHARMS                                     
10926,SHIONOGI INC                                      
10927,BRACCO                                            
10929,BRACCO                                            
10942,WYETH AYERST                                      
10962,PARKE DAVIS                                       
10971,WYETH AYERST                                      
10976,GD SEARLE LLC                                     
10996,XANODYNE PHARM                                    
10997,XANODYNE PHARM                                    
11000,GLAXOSMITHKLINE                                   
11011,SCHWARZ PHARMA                                    
11028,MERCK                                             
11045,MEDPOINTE PHARM HLC                               
11047,PHARMACIA AND UPJOHN                              
11073,MEDPOINTE PHARM HLC                               
11110,GLAXOSMITHKLINE                                   
11111,PFIZER                                            
11120,GLAXOSMITHKLINE                                   
11123,BRISTOL MYERS SQUIBB                              
11127,GLAXOSMITHKLINE                                   
11145,LUNDBECK INC                                      
11153,PHARMACIA AND UPJOHN                              
11161,ASTELLAS                                          
11178,SANOFI AVENTIS US                                 
11185,IVAX SUB TEVA PHARMS                              
11188,GLAXOSMITHKLINE                                   
11208,ARMOUR PHARM                                      
11210,FOREST LABS                                       
11213,SCHERING                                          
11228,ORGANON USA INC                                   
11245,BRACCO                                            
11265,ANI PHARMS                                        
11270,SHIRE                                             
11276,GLAXOSMITHKLINE                                   
11283,BRISTOL MYERS SQUIBB                              
11284,MEDPOINTE PHARM HLC                               
11287,SANOFI AVENTIS US                                 
11294,SCHERING                                          
11300,ORTHO MCNEIL PHARM                                
11316,ALLERGAN HERBERT                                  
11323,SHIRE                                             
11324,BRACCO                                            
11325,APOTHECON                                         
11338,WYETH AYERST                                      
11340,PHARM RES ASSOC                                   
11359,BRISTOL MYERS SQUIBB                              
11361,SCHERING                                          
11366,TARO                                              
11386,GE HEALTHCARE                                     
11418,WYETH AYERST                                      
11444,SANOFI AVENTIS US                                 
11446,PFIZER                                            
11459,PFIZER                                            
11467,SANOFI AVENTIS US                                 
11483,CARACO                                            
11491,APOTHECON                                         
11496,GLAXOSMITHKLINE                                   
11521,IVAX SUB TEVA PHARMS                              
11522,TEVA WOMENS                                       
11525,AKORN                                             
11529,JANSSEN R AND D                                   
11552,GLAXOSMITHKLINE                                   
11556,NOVARTIS                                          
11557,SCHERING                                          
11559,JHP PHARMS                                        
11583,MERCK                                             
11600,APOTHECON                                         
11601,APOTHECON                                         
11602,BRISTOL MYERS SQUIBB                              
11612,PFIZER                                            
11613,UCB INC                                           
11620,BRACCO                                            
11635,MERCK                                             
11641,PFIZER                                            
11642,PHARM RES ASSOC                                   
11657,FOREST LABS                                       
11664,MERCK                                             
11665,VALEANT PHARM INTL                                
11673,3M                                                
11679,ABBOTT                                            
11683,IMMUNEX                                           
11685,SANDOZ                                            
11689,SHIONOGI INC                                      
11694,ROBINS AH                                         
11695,PHARM RES ASSOC                                   
11702,CARACO                                            
11707,ENDO PHARMS                                       
11719,HOSPIRA                                           
11721,LEDERLE                                           
11722,WATSON PHARMS                                     
11730,BAXTER HLTHCARE CORP                              
11738,ENDO PHARMS                                       
11745,ROCHE                                             
11748,PHARMACIA AND UPJOHN                              
11751,APOTHECON                                         
11752,BOEHRINGER INGELHEIM                              
11757,PHARMACIA AND UPJOHN                              
11771,PHARM RES ASSOC                                   
11777,MALLINCKRODT                                      
11790,BAXTER HLTHCARE CORP                              
11792,MEDA PHARMS                                       
11793,NOVARTIS                                          
11795,PFIZER                                            
11808,NOVARTIS                                          
11814,SCHERING                                          
11835,MERCK                                             
11836,SANOFI AVENTIS US                                 
11837,SOLA BARNES HIND                                  
11838,NOVARTIS                                          
11839,PHARMACIA AND UPJOHN                              
11856,PHARMACIA AND UPJOHN                              
11860,MERCK                                             
11870,SALIX PHARMS                                      
11878,NOVARTIS                                          
11891,ORGANON USA INC                                   
11903,ALCON                                             
11909,PARKE DAVIS                                       
11914,CHESEBROUGH PONDS                                 
11945,GLAXOSMITHKLINE                                   
11949,SHIRE                                             
11950,WESTWOOD SQUIBB                                   
11958,MERCK                                             
11960,ASTELLAS                                          
11961,VALIDUS PHARMS INC                                
11963,WYETH PHARMS INC                                  
11964,PARKE DAVIS                                       
11971,ABBOTT                                            
11977,MERCK                                             
11983,MERCK                                             
11984,MERCK                                             
12003,ABBOTT                                            
12015,LUNDBECK INC                                      
12026,NOVARTIS                                          
12034,SCHERING                                          
12041,APOTHECON                                         
12052,MERCK                                             
12071,MERCK                                             
12093,VALEANT INTL                                      
12095,PHARMACIA AND UPJOHN                              
12097,APOTHECON                                         
12102,3M                                                
12104,RANBAXY                                           
12111,ALCON                                             
12122,LILLY                                             
12125,EASTMAN KODAK                                     
12126,3M                                                
12128,PFIZER                                            
12141,BAXTER HLTHCARE                                   
12142,BAXTER HLTHCARE                                   
12145,APOTHECON                                         
12148,ABBOTT                                            
12151,GD SEARLE LLC                                     
12152,GLAXOSMITHKLINE                                   
12154,HOSPIRA                                           
12155,SCHERING                                          
12157,MEDICIS                                           
12164,APOTHECON                                         
12179,HI TECH PHARMA                                    
12184,PARKE DAVIS                                       
12193,NOVARTIS                                          
12209,VALEANT                                           
12223,BIOVAIL TECHNOLOGIES                              
12248,WYETH AYERST                                      
12249,VALEANT PHARM INTL                                
12250,HOSPIRA                                           
12254,SCHERING                                          
12259,PHARMACIA AND UPJOHN                              
12265,SCHERING                                          
12281,ROBINS AH                                         
12283,SANOFI AVENTIS US                                 
12285,NOVARTIS                                          
12301,VALEANT PHARM INTL                                
12302,ABBOTT                                            
12329,NOVARTIS                                          
12339,SANOFI AVENTIS US                                 
12342,GLAXOSMITHKLINE                                   
12359,SHIRE                                             
12365,MEDA PHARMS                                       
12366,MEDA PHARMS                                       
12376,MERCK                                             
12380,PARKE DAVIS                                       
12382,BAXTER HLTHCARE CORP                              
12383,MERCK                                             
12394,SCHERING                                          
12402,PROCTER AND GAMBLE                                
12418,ABBOTT                                            
12419,SCHERING                                          
12421,PHARMACIA AND UPJOHN                              
12427,PHARMACIA AND UPJOHN                              
12429,GLAXOSMITHKLINE                                   
12436,WYETH CONS                                        
12455,WYETH AYERST                                      
12462,GD SEARLE LLC                                     
12470,SCHERING                                          
12485,PARKE DAVIS                                       
12486,ROCHE                                             
12487,ROCHE                                             
12489,AH ROBINS INC                                     
12515,BRISTOL MYERS SQUIBB                              
12516,NOVARTIS                                          
12524,ABBOTT                                            
12541,PHARMACIA AND UPJOHN                              
12542,NOVARTIS                                          
12546,WATSON PHARMS                                     
12575,GLAXOSMITHKLINE                                   
12583,ALLERGAN                                          
12594,SANOFI AVENTIS US                                 
12616,GD SEARLE LLC                                     
12623,GD SEARLE LLC                                     
12649,MERCK                                             
12657,SCHERING                                          
12665,LILLY                                             
12674,ORGANON USA INC                                   
12675,ORGANON USA INC                                   
12678,SANDOZ                                            
12697,VALEANT PHARM INTL                                
12699,GD SEARLE LLC                                     
12703,ASTRAZENECA                                       
12704,ASTRAZENECA                                       
12708,MEDPOINTE PHARM HLC                               
12715,ROCHE                                             
12728,ORTHO MCNEIL PHARM                                
12731,MERCK                                             
12737,SANDOZ                                            
12753,NOVARTIS                                          
12754,NOVARTIS                                          
12768,WYETH AYERST                                      
12770,HI TECH PHARMA                                    
12772,LILLY                                             
12775,ABBOTT                                            
12787,MEDIMETRIKS PHARMS                                
12796,WYETH PHARMS INC                                  
12802,SANDOZ                                            
12806,WATSON PHARMS                                     
12813,ALLERGAN                                          
12827,SHIONOGI INC                                      
12828,ABBOTT                                            
12836,BOEHRINGER INGELHEIM                              
12845,PFIZER                                            
12882,WYETH AYERST                                      
12885,LUNDBECK INC                                      
12892,SHIRE                                             
12911,NOVARTIS                                          
12928,LILLY                                             
12936,LILLY                                             
12940,BIOVAIL                                           
12945,DURAMED PHARMS BARR                               
12947,LEDERLE                                           
12967,BRACCO                                            
12968,BRACCO                                            
12972,SANOFI AVENTIS US                                 
13025,HOSPIRA                                           
13026,WYETH PHARMS INC                                  
13055,MEDICIS                                           
13056,ABBOTT                                            
13077,ASTRAZENECA                                       
13087,WYETH CONS                                        
13092,PURDUE FREDERICK                                  
13093,PHARM RES ASSOC                                   
13132,ORGANON USA INC                                   
13157,LILLY                                             
13174,WELLSPRING PHARM                                  
13217,KING PHARMS                                       
13220,MERCK                                             
13247,NOVARTIS                                          
13263,ROCHE                                             
13264,LEDERLE                                           
13294,ROCHE                                             
13295,MALLINCKRODT                                      
13296,3M                                                
13319,MALLINCKRODT                                      
13334,MERCK                                             
13378,LILLY                                             
13400,MERCK                                             
13401,MERCK                                             
13402,MERCK                                             
13413,UCB INC                                           
13416,MEDICIS                                           
13420,NOVARTIS                                          
13422,ALCON                                             
13428,ENDO PHARMS                                       
13448,ABBOTT                                            
13483,SCHERING PLOUGH                                   
13538,MERCK                                             
13553,NOVARTIS                                          
13601,APOTHECON                                         
13615,DOW PHARM                                         
13621,SANOFI AVENTIS US                                 
13625,WATSON LABS                                       
13636,PFIZER                                            
13664,ROCHE                                             
13684,BAXTER HLTHCARE                                   
13718,SAVIENT PHARMS                                    
13731,GE HEALTHCARE                                     
13790,WATSON LABS                                       
13927,LEDERLE                                           
13934,GLAXOSMITHKLINE                                   
13935,ALLERGAN                                          
13960,MEDIMETRIKS PHARMS                                
13993,BRACCO                                            
14005,ORGANON USA INC                                   
14006,ORGANON USA INC                                   
14103,LILLY                                             
14122,WYETH AYERST                                      
14127,ASTRAZENECA                                       
14134,BAXTER HLTHCARE CORP                              
14169,ALCON                                             
14173,WYETH AYERST                                      
14214,SANOFI AVENTIS US                                 
14215,SCHERING                                          
14217,PHARMACIA AND UPJOHN                              
14242,UCB INC                                           
14295,MALLINCKRODT                                      
14322,IMPAX LABS                                        
14349,PERSONAL PRODS                                    
14359,HALSEY                                            
14368,MK LABS                                           
14394,ASTRAZENECA                                       
14399,SANOFI AVENTIS US                                 
14474,STANLABS PHARM                                    
14547,SANDOZ                                            
14601,PVT FORM                                          
14602,SCHERING                                          
14684,LILLY                                             
14685,RANBAXY                                           
14691,GLAXOSMITHKLINE                                   
14694,ORGANON USA INC                                   
14696,PARKE DAVIS                                       
14713,SCHERING                                          
14715,NEW RIVER                                         
14738,B BRAUN                                           
14740,ROCHE                                             
14762,SCHERING                                          
14763,ASTRAZENECA                                       
14764,ROBINS AH                                         
14860,SANOFI AVENTIS US                                 
14879,BAXTER HLTHCARE                                   
14882,LANNETT                                           
14901,APOTHECON                                         
15034,SHIONOGI INC                                      
15072,MALLARD                                           
15103,SANOFI AVENTIS US                                 
15139,VALEANT PHARM INTL                                
15193,VALEANT PHARM INTL                                
15197,XANODYNE PHARM                                    
15229,XANODYNE PHARM                                    
15230,XANODYNE PHARM                                    
15296,MEDIMETRIKS PHARMS                                
15417,WEST WARD                                         
15419,BRACCO                                            
15426,ELKINS SINN                                       
15438,IVAX SUB TEVA PHARMS                              
15500,PHARMACIA AND UPJOHN                              
15539,ALPHARMA US PHARMS                                
15865,IMMUNEX                                           
15868,GLAXOSMITHKLINE                                   
15874,BOEHRINGER INGELHEIM                              
15921,ORTHO MCNEIL                                      
15922,ORTHO MCNEIL                                      
15923,JANSSEN PHARMS                                    
16000,BAYER HLTHCARE                                    
16001,SOLVAY                                            
16008,SCHERING                                          
16012,ODYSSEY PHARMS                                    
16016,MERCK                                             
16020,ENDO PHARMS                                       
16023,ENDO PHARMS                                       
16029,GD SEARLE LLC                                     
16030,BAYER                                             
16033,GLAXOSMITHKLINE                                   
16042,GLAXOSMITHKLINE LLC                               
16047,ABBOTT                                            
16049,AKORN MFG                                         
16053,SCHERING                                          
16059,IROKO PHARMS                                      
16069,TEVA                                              
16080,B BRAUN                                           
16084,PROMETHEUS LABS                                   
16087,ROCHE                                             
16089,BRACCO                                            
16090,BRACCO                                            
16092,ATON                                              
16093,ATON                                              
16096,MERCK                                             
16097,MERCK                                             
16099,WYETH AYERST                                      
16110,APOTHECON                                         
16118,BRISTOL MYERS SQUIBB                              
16119,BRISTOL MYERS SQUIBB                              
16126,WYETH CONS                                        
16131,SANOFI AVENTIS US                                 
16144,ALLERGAN                                          
16149,ROCHE                                             
16151,CNTY LINE PHARMS                                  
16161,MEDIMETRIKS PHARMS                                
16191,ASTRAZENECA                                       
16192,ASTRAZENECA                                       
16194,HOSPIRA                                           
16199,ANI PHARMS                                        
16211,NOVARTIS                                          
16224,BRACCO                                            
16235,SANOFI AVENTIS US                                 
16245,ABBOTT                                            
16249,SOLVAY                                            
16267,NOVARTIS                                          
16269,HOSPIRA                                           
16273,SANOFI AVENTIS US                                 
16295,BRISTOL MYERS SQUIBB                              
16297,APP PHARMS                                        
16320,STI PHARMA LLC                                    
16322,SCHERING                                          
16324,PROMETHEUS LABS                                   
16363,SANOFI AVENTIS US                                 
16366,HOSPIRA                                           
16367,HOSPIRA                                           
